,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Chanika,-5.4167,38.0167,65.01,99,35,2.51,TZ,1666558550
360,Saint-Joseph,-21.3667,55.6167,68.38,82,25,8.5,RE,1666558551
361,Caceres,39.522,-6.3748,60.03,65,100,4.47,ES,1666558488
362,Olafsvik,64.8945,-23.7142,42.85,79,80,14.81,IS,1666558180
363,Noumea,-22.2763,166.4572,80.58,81,100,15.23,NC,1666558551
364,Palu,-0.8917,119.8707,75.63,96,100,3.44,ID,1666558552
365,Nanga Eboko,4.6833,12.3667,67.51,98,85,1.32,CM,1666558552
366,Dunedin,-45.8742,170.5036,47.8,88,100,21.0,NZ,1666557942
367,Poum,-20.2333,164.0167,76.3,83,100,28.14,NC,1666558094
368,Svarstad,59.399,9.9698,43.48,58,100,1.01,NO,1666558553
369,Esna,25.2934,32.554,75.22,37,2,9.48,EG,1666558553
370,Lavrentiya,65.5833,-171.0,30.47,95,100,3.87,RU,1666558159
371,The Valley,18.217,-63.0578,85.86,70,20,10.36,AI,1666558554
372,Clarksburg,39.2807,-80.3445,77.11,47,26,2.33,US,1666558554
373,Samarai,-10.6167,150.6667,80.78,76,28,4.88,PG,1666557980
374,Lubeck,39.2354,-81.6312,76.78,41,2,3.13,US,1666558555
375,Bodden Town,19.2833,-81.25,86.0,76,20,11.5,KY,1666558555
376,Namikupa,-10.8333,39.6,65.77,97,9,3.02,TZ,1666558555
377,Port Moresby,-9.4431,147.1797,74.62,100,20,4.61,PG,1666558146
378,Saint-François,46.4154,3.9054,62.04,67,0,5.75,FR,1666558556
379,Obo,5.3998,26.4869,68.99,96,92,4.25,CF,1666558556
380,Torit,4.4133,32.5678,74.32,75,77,1.66,SS,1666558557
381,Ortaköy,38.7373,34.0387,41.25,31,32,3.15,TR,1666558557
382,Joshīmath,30.5667,79.5667,51.71,43,0,6.93,IN,1666558558
383,Tatarbunary,45.8373,29.6142,52.84,87,2,8.52,UA,1666558558
384,Nuevo Progreso,23.1667,-97.95,83.53,64,96,7.0,MX,1666558186
385,Coração de Jesus,-16.6853,-44.365,70.92,69,100,5.48,BR,1666558558
386,Kimberley,-28.7323,24.7623,62.76,79,100,12.66,ZA,1666558559
387,Praia da Vitória,38.7333,-27.0667,63.75,77,40,23.04,PT,1666558143
388,Port Pirie,-33.1833,138.0167,57.29,93,100,12.46,AU,1666558559
389,Port-Gentil,-0.7193,8.7815,78.84,85,100,7.56,GA,1666558560
390,Jardim,-21.4803,-56.1381,80.8,59,0,4.12,BR,1666558560
391,Yenagoa,4.9247,6.2642,75.27,97,100,2.86,NG,1666558560
392,Shitanjing,39.2342,106.3439,48.87,35,1,4.14,CN,1666558561
393,Fayaoué,-20.65,166.5333,76.03,73,100,26.37,NC,1666558561
394,Ponta do Sol,32.6667,-17.1,69.01,70,100,3.49,PT,1666558138
395,Kuah,6.3265,99.8432,76.98,94,20,2.3,MY,1666558562
396,Katherine,-14.4667,132.2667,82.85,72,87,8.9,AU,1666558562
397,Partizanskoye,55.5006,94.39,32.79,68,85,20.24,RU,1666558563
398,Verāval,20.9,70.3667,78.85,47,0,4.56,IN,1666558563
399,Belluno,46.145,12.2214,59.9,94,100,1.48,IT,1666558564
400,Nanortalik,60.1432,-45.2371,37.36,96,100,6.13,GL,1666557940
401,Boissevain,49.2306,-100.0559,50.5,63,100,22.01,CA,1666558564
402,Naryan-Mar,67.6713,53.087,33.13,94,100,17.2,RU,1666558564
403,Alice Springs,-23.7,133.8833,60.35,88,0,6.91,AU,1666558160
404,Khandyga,62.6667,135.6,3.42,98,97,2.77,RU,1666558565
405,Tabou,4.423,-7.3528,77.18,88,80,5.86,CI,1666558240
406,Jinchang,38.4953,102.1739,48.15,45,38,1.21,CN,1666558565
407,Mandalgovi,45.7625,106.2708,38.95,39,0,10.8,MN,1666558566
408,Katobu,-4.9408,122.5276,75.78,93,99,2.95,ID,1666558566
409,Inírida,3.8653,-67.9239,81.09,89,100,3.31,CO,1666558566
410,Labuhan,-6.8844,112.2051,79.16,84,95,8.34,ID,1666558109
411,San Cristobal,7.7669,-72.225,80.78,61,96,1.32,VE,1666558086
412,Kyra,49.5776,111.9753,30.54,64,6,2.57,RU,1666558567
413,Burgeo,47.6167,-57.6152,54.07,81,100,11.39,CA,1666558097
414,Chumikan,54.7183,135.315,26.83,78,11,11.9,RU,1666558110
415,Mahabad,36.7631,45.7222,53.71,63,0,4.76,IR,1666558567
416,Mahon,39.8885,4.2658,72.16,83,20,8.05,ES,1666558133
417,Dalbandin,28.8947,64.4101,68.43,17,0,4.47,PK,1666558545
418,Limerick,52.6647,-8.6231,53.55,95,98,2.95,IE,1666558568
419,Vardø,70.3705,31.1107,39.18,60,75,23.02,NO,1666558111
420,Nichinan,31.6,131.3667,59.77,83,23,6.08,JP,1666558568
421,Beaverlodge,55.2166,-119.4361,36.75,56,57,7.74,CA,1666558569
422,Mala,-12.6581,-76.6308,66.79,73,93,9.66,PE,1666558569
423,Shinuhayr,39.4367,46.3179,41.7,70,0,7.49,AM,1666558569
424,Tuatapere,-46.1333,167.6833,46.54,90,100,8.68,NZ,1666558161
425,Mikkeli,61.6886,27.2723,32.11,86,0,6.91,FI,1666558570
426,Cabo San Lucas,22.8909,-109.9124,91.62,65,27,17.05,MX,1666558102
427,La Ronge,55.1001,-105.2842,39.45,65,100,10.36,CA,1666557923
428,Lahat,-3.8,103.5333,72.59,97,100,2.89,ID,1666558571
429,Los Llanos de Aridane,28.6585,-17.9182,69.55,82,40,5.75,ES,1666558571
430,Keetmanshoop,-26.5833,18.1333,75.56,34,91,10.67,NA,1666558571
431,Hong Kong,22.2855,114.1577,77.38,73,92,8.01,HK,1666557800
432,Sarakhs,36.5449,61.1577,57.76,49,26,6.53,IR,1666558081
433,Madimba,-10.4,40.3333,73.58,82,10,4.41,TZ,1666558572
434,Kutum,14.2,24.6667,74.89,23,13,14.36,SD,1666558573
435,Kindu,-2.95,25.95,70.97,91,37,1.3,CD,1666558573
436,Dudinka,69.4058,86.1778,19.36,96,99,6.71,RU,1666558573
437,Brownwood,31.7093,-98.9912,87.12,44,29,23.89,US,1666558574
438,Chamba,32.5667,76.1333,60.04,52,0,7.31,IN,1666558574
439,Mel'nikovo,56.5558,84.085,31.24,81,100,11.01,RU,1666558575
440,Port Shepstone,-30.7414,30.455,69.51,88,100,3.47,ZA,1666558223
441,Vuktyl,63.8567,57.3094,33.93,97,100,12.41,RU,1666558575
442,Graaff-Reinet,-32.2522,24.5308,62.92,76,83,7.02,ZA,1666558575
443,Nagato,34.3833,131.2,58.41,78,86,11.99,JP,1666558576
444,Curanilahue,-37.4667,-73.35,55.74,58,0,6.15,CL,1666558576
445,Ouallam,14.3188,2.0866,87.26,15,1,8.12,NE,1666558129
446,Salalah,17.0151,54.0924,78.89,73,0,3.44,OM,1666558168
447,Arman',59.7,150.1667,16.84,65,100,9.17,RU,1666558577
448,Salisbury,51.0693,-1.7957,58.53,94,75,9.22,GB,1666558577
449,Kifrī,34.6959,44.9661,77.9,33,0,10.27,IQ,1666558577
450,Tessalit,20.1986,1.0114,76.93,18,48,11.92,ML,1666558123
451,Yangi Marg`ilon,40.4272,71.7189,50.72,81,100,2.3,UZ,1666558578
452,Port Hardy,50.6996,-127.4199,46.58,81,100,6.91,CA,1666558057
453,Jesolo,45.5331,12.6448,65.34,91,98,3.22,IT,1666558351
454,Yining,29.0361,114.5636,59.09,64,99,2.53,CN,1666558579
455,Vestmannaeyjar,63.4427,-20.2734,43.59,81,100,23.44,IS,1666557997
456,Yoichi,43.2039,140.7703,44.87,82,47,4.59,JP,1666558579
457,Petra,30.3222,35.4793,57.02,90,47,3.85,JO,1666558580
458,Ningbo,29.8782,121.5495,57.18,82,0,6.71,CN,1666558580
459,Adrar,20.5022,-10.0711,86.95,13,1,11.03,MR,1666558063
460,Teknāf,20.8624,92.3058,77.23,90,100,10.47,BD,1666558581
461,Sept-Îles,50.2001,-66.3821,55.92,74,20,2.3,CA,1666558472
462,Tateyama,34.9833,139.8667,61.11,80,100,19.08,JP,1666558581
463,Krapkowice,50.4752,17.9654,52.11,78,100,11.95,PL,1666558581
464,Sittwe,20.15,92.9,80.92,81,100,19.8,MM,1666558582
465,Aktobe,50.2797,57.2072,35.22,41,95,6.44,KZ,1666558390
466,Skibbereen,51.55,-9.2667,54.1,92,99,5.93,IE,1666558582
467,Brigantine,39.4101,-74.3646,59.2,95,100,17.27,US,1666558540
468,Nikki,9.9401,3.2108,76.64,46,1,2.59,BJ,1666558583
469,Lokosovo,61.1333,74.8167,30.72,68,100,16.17,RU,1666558583
470,Byron Bay,-28.65,153.6167,64.71,95,100,16.08,AU,1666558512
471,Bayonet Point,28.3267,-82.6834,84.36,57,33,5.99,US,1666558584
472,Kashgar,39.4547,75.9797,52.81,37,94,8.95,CN,1666558184
473,Tugulym,57.0591,64.6425,30.33,67,80,11.72,RU,1666558584
474,Varhaug,58.6147,5.6457,52.86,82,62,15.79,NO,1666558584
475,São João da Barra,-21.6403,-41.0511,77.09,81,58,12.44,BR,1666557875
476,Araioses,-2.89,-41.9031,84.18,74,20,19.57,BR,1666558585
477,Mayo,38.8876,-76.5119,66.13,85,100,8.05,US,1666558585
478,Morros,-9.4467,-46.3003,80.92,58,96,5.21,BR,1666558586
479,Vostochnyy,55.8167,37.8667,43.11,93,100,4.61,RU,1666558586
480,Kharitonovo,61.4009,47.4978,36.97,97,100,11.74,RU,1666558587
481,Sørland,67.667,12.6934,39.06,51,100,9.31,NO,1666558161
482,Tsiroanomandidy,-18.7667,46.0333,71.71,68,7,4.54,MG,1666558587
483,Kysyl-Syr,63.8986,122.7617,29.55,83,100,14.03,RU,1666558587
484,Kupang,-10.1667,123.5833,79.27,83,84,4.25,ID,1666558588
485,Tupik,54.4253,119.9327,20.62,90,99,3.71,RU,1666558588
486,Kununurra,-15.7667,128.7333,88.21,41,18,2.51,AU,1666557903
487,Zhangaözen,43.3,52.8,47.48,60,2,10.58,KZ,1666558589
488,Yanam,16.7333,82.2167,71.64,89,100,3.69,IN,1666558589
489,Haukipudas,65.1765,25.3523,37.45,59,4,20.0,FI,1666558589
490,Labytnangi,66.6572,66.4183,28.42,96,100,6.69,RU,1666558590
491,Kloulklubed,7.0419,134.2556,83.77,76,99,12.33,PW,1666558121
492,Namtsy,62.7161,129.6658,16.93,97,100,7.52,RU,1666558197
493,Bereda,43.2686,-7.5406,55.42,99,58,9.42,ES,1666558539
494,Tumut,-35.3,148.2167,62.64,78,100,10.87,AU,1666558590
495,Inhambane,-23.865,35.3833,73.69,78,81,4.61,MZ,1666558534
496,Emmaus,56.7805,36.115,43.39,89,100,5.73,RU,1666558591
497,Leh,34.1667,77.5833,30.16,39,2,0.89,IN,1666558591
498,Birjand,32.8663,59.2211,55.87,24,0,6.91,IR,1666558591
499,Santa Elena,-2.2333,-80.85,71.15,83,100,10.36,EC,1666558592
500,Gannan,47.9147,123.5031,30.09,48,53,4.61,CN,1666558592
501,Severodvinsk,64.5635,39.8302,37.51,77,98,17.49,RU,1666558592
502,Coihueco,-36.6167,-71.8333,66.94,42,0,4.61,CL,1666558593
503,Northam,51.0333,-4.2167,53.62,96,96,0.81,GB,1666558216
504,Edd,13.9297,41.6925,87.24,51,0,13.96,ER,1666558593
505,Bintulu,3.1667,113.0333,75.61,100,40,5.01,MY,1666558593
506,Alofi,-19.0595,-169.9187,78.69,83,75,8.05,NU,1666558111
507,Khudumelapye,-23.8833,24.75,74.66,48,61,8.05,BW,1666558594
508,Kitimat,54.0524,-128.6534,39.58,29,100,4.05,CA,1666558594
509,Palmer,42.1584,-72.3287,56.62,76,100,5.75,US,1666558595
510,Zhezkazgan,47.8043,67.7144,32.34,36,16,5.97,KZ,1666558595
511,Long,18.0761,99.8326,70.57,96,25,1.07,TH,1666558595
512,Krasnokholm,51.5979,54.1567,36.16,53,43,7.99,RU,1666558596
513,Visby,57.6409,18.296,49.05,93,100,5.75,SE,1666558596
514,Impfondo,1.6381,18.0667,72.45,95,56,2.95,CG,1666558597
515,Redcar,54.6166,-1.06,57.83,70,92,4.0,GB,1666558597
516,Mezen',65.8522,44.24,34.54,94,100,8.97,RU,1666558597
517,Voi,-3.3945,38.563,70.9,86,100,7.11,KE,1666558199
518,Argayash,55.4888,60.8767,29.89,62,99,8.95,RU,1666558597
519,Peace River,56.2501,-117.286,32.31,86,100,6.91,CA,1666558404
520,Carahue,-38.7,-73.1667,60.31,50,3,8.16,CL,1666558598
521,Barabai,-2.5833,115.3833,73.08,98,95,1.03,ID,1666558598
522,Haimen,23.1935,116.6142,67.89,79,42,18.37,CN,1666558599
523,Sokoto,13.0609,5.239,84.13,21,78,8.66,NG,1666558599
524,Adelaide,-34.9333,138.6,59.92,89,75,5.75,AU,1666558565
525,Martinópolis,-22.1458,-51.1708,85.32,59,0,7.0,BR,1666558600
526,Vao,-22.6667,167.4833,72.95,77,100,26.87,NC,1666558600
527,Gamba,-2.65,10.0,77.11,90,100,6.06,GA,1666558600
528,Chara,56.9064,118.2631,24.67,70,100,2.51,RU,1666558601
529,Rawson,-43.3002,-65.1023,77.67,16,49,10.45,AR,1666558065
530,Kismayo,-0.3582,42.5454,77.56,85,80,13.4,SO,1666558601
531,Rehoboth,-23.3167,17.0833,80.35,27,90,5.03,NA,1666558602
532,Sakakah,29.9697,40.2064,76.57,32,73,8.88,SA,1666558602
533,Faya,18.3851,42.4509,62.71,66,17,2.86,SA,1666558078
534,Koygorodok,60.445,50.9968,36.19,92,100,13.65,RU,1666558603
535,Cloquet,46.7216,-92.4594,74.35,64,0,13.8,US,1666558603
536,Mzimba,-11.9,33.6,72.28,43,74,12.86,MW,1666558603
537,Port Loko,8.7667,-12.7833,74.73,95,92,3.18,SL,1666558603
